Local, Region, Total_Case, Population
Asia,Philippines,3679761.0,111046910.0
Europe,Poland,5970114.0,37797000.0
Europe,Portugal,3609846.0,10167923.0
Asia,Qatar,362007.0,2930524.0
Europe,Romania,2861426.0,19127772.0
Europe,Russia,17651048.0,145912022.0
Africa,Rwanda,129733.0,13276517.0
Africa,Saint Helena,4.0,6095.0
North America,Saint Kitts and Nevis,5549.0,53546.0
North America,Saint Lucia,22965.0,184401.0
North America,Saint Pierre and Miquelon,2236.0,5771.0
North America,Saint Vincent and the Grenadines,8335.0,111269.0
Oceania,Samoa,2622.0,200144.0
Europe,San Marino,15345.0,34010.0
Africa,Sao Tome and Principe,5948.0,223364.0
Asia,Saudi Arabia,751180.0,35340680.0
Africa,Senegal,85920.0,17196308.0
Europe,Serbia,1982193.0,6871547.0
Africa,Seychelles,40866.0,98910.0
Africa,Sierra Leone,7675.0,8141343.0
Asia,Singapore,1109744.0,5453600.0
Europe,Slovakia,2462300.0,5449270.0
Europe,Slovenia,974694.0,2078723.0
Oceania,Solomon Islands,11470.0,703995.0
Africa,Somalia,26410.0,16359500.0
Africa,South Africa,3722954.0,60041996.0
Asia,South Korea,14267401.0,51305184.0
Africa,South Sudan,17301.0,11381377.0
Europe,Spain,11551574.0,46745211.0
Asia,Sri Lanka,662103.0,21497306.0
Africa,Sudan,61966.0,44909351.0
South America,Suriname,79236.0,591798.0
Europe,Sweden,2487852.0,10160159.0
Europe,Switzerland,3507309.0,8715494.0
Asia,Syria,55718.0,18275704.0
Asia,Taiwan,24588.0,23855008.0
Asia,Tajikistan,17786.0,9749625.0
Africa,Tanzania,33815.0,61498438.0
Asia,Thailand,3757575.0,69950844.0
Asia,Timor,22832.0,1343875.0
Africa,Togo,36945.0,8478242.0
Oceania,Tonga,7234.0,106759.0
North America,Trinidad and Tobago,138793.0,1403374.0
Africa,Tunisia,1035884.0,11935764.0
Asia,Turkey,14907378.0,85042736.0
North America,Turks and Caicos Islands,5910.0,39226.0
Africa,Uganda,163949.0,47123533.0
Europe,Ukraine,5040518.0,43466822.0
Asia,United Arab Emirates,892470.0,9991083.0
Europe,United Kingdom,21428717.0,68207114.0
North America,United States,81495644.0,332915074.0
South America,Uruguay,890140.0,3485152.0
Asia,Uzbekistan,237888.0,33935765.0
Oceania,Vanuatu,4431.0,314464.0
Europe,Vatican,29.0,812.0
South America,Venezuela,520905.0,28704947.0
Asia,Vietnam,9867045.0,98168829.0
Oceania,Wallis and Futuna,454.0,11094.0
Asia,Yemen,11808.0,30490639.0
Africa,Zambia,317110.0,18920657.0
Africa,Zimbabwe,246612.0,15092171.0
